County,State,Education.Bachelor's Degree or Higher,Population.2020 Population
Chambers County,AL,13.3,34772
Chambers County,TX,22.7,46571
Champaign County,IL,45,205865
Champaign County,OH,16.1,38714
Chariton County,MO,17.2,7408
Charles City County,VA,14.7,6773
Charles County,MD,28.9,166617
Charles Mix County,SD,18.6,9373
Charleston County,SC,43.6,408235
Charlevoix County,MI,31.1,26054
Charlotte County,FL,23.4,186847
Charlotte County,VA,10.9,11529
Charlottesville city,VA,54.9,46553
Charlton County,GA,8.8,12518
Chase County,KS,25.5,2572
Chase County,NE,21,3893
Chatham County,GA,33.6,295291
Chatham County,NC,42.4,76285
Chattahoochee County,GA,29.5,9565
Chattooga County,GA,8.9,24965
Chautauqua County,KS,15.9,3379
Chautauqua County,NY,22.2,127657
Chaves County,NM,18,65157
Cheatham County,TN,21,41072
Cheboygan County,MI,20.7,25579
Chelan County,WA,25.8,79074
Chemung County,NY,23.3,84148
Chenango County,NY,18.7,47220
Cherokee County,AL,12.8,24971
Cherokee County,GA,38.2,266620
Cherokee County,IA,22.2,11658
Cherokee County,KS,19.6,19362
Cherokee County,NC,19,28774
Cherokee County,OK,26.3,47078
Cherokee County,SC,14.2,56216
Cherokee County,TX,17.2,50412
Cherry County,NE,22.9,5455
Chesapeake city,VA,33.2,249422
Cheshire County,NH,33.1,76458
Chester County,PA,53,534413
Chester County,SC,13.4,32294
Chester County,TN,16,17341
Chesterfield County,SC,10.4,43273
Chesterfield County,VA,40.5,364548
Cheyenne County,CO,19.2,1748
Cheyenne County,KS,28.9,2616
Cheyenne County,NE,25.4,9468
Chickasaw County,IA,17.2,12012
Chickasaw County,MS,12.4,17106
Chicot County,AR,15.9,10208
Childress County,TX,18.3,6664
Chilton County,AL,12.7,45014
Chippewa County,MI,21.2,36785
Chippewa County,MN,19,12598
Chippewa County,WI,21,66297
Chisago County,MN,21.5,56621
Chittenden County,VT,51.3,168323
Choctaw County,AL,11.9,12665
Choctaw County,MS,19.1,8246
Choctaw County,OK,13.4,14204
Chouteau County,MT,28.3,5895
Chowan County,NC,21.7,13708
Christian County,IL,17.1,34032
Christian County,KY,18.1,72748
Christian County,MO,28.6,88842
Churchill County,NV,18.8,25516
Cibola County,NM,14.2,27172
Cimarron County,OK,22.8,2296
Citrus County,FL,18.3,153843
Clackamas County,OR,37.4,421401
Claiborne County,MS,24,9135
Claiborne County,TN,16.1,32043
Claiborne Parish,LA,12.8,14170
Clallam County,WA,27.4,77155
Clare County,MI,12.6,30856
Clarendon County,SC,15.1,31144
Clarion County,PA,22.1,37241
Clark County,AR,26.6,21446
Clark County,ID,12.2,790
Clark County,IL,19.9,15455
Clark County,IN,21.2,121093
Clark County,KS,26.1,1991
Clark County,KY,20.1,36972
Clark County,MO,12.8,6634
Clark County,NV,24.5,2265461
Clark County,OH,18.7,136001
Clark County,SD,19.1,3837
Clark County,WA,30.6,503311
Clark County,WI,12.6,34659
Clarke County,AL,12.2,23087
Clarke County,GA,44,128671
Clarke County,IA,16,9748
Clarke County,MS,12.5,15615
Clarke County,VA,32.2,14783
Clatsop County,OR,24.4,41072
Clay County,AL,10.6,14236
Clay County,AR,12.6,14552
Clay County,FL,24.9,218245
Clay County,GA,12.5,2848
Clay County,IA,22.7,16384
Clay County,IL,15,13288
Clay County,IN,17,26466
Clay County,KS,26.7,8117
Clay County,KY,9.8,20345
Clay County,MN,34.2,65318
Clay County,MO,33.2,253335
Clay County,MS,20.4,18636
Clay County,NC,23.7,11089
Clay County,NE,19.9,6104
Clay County,SD,49.9,14967
Clay County,TN,13.9,7581
Clay County,TX,21.4,10218
Clay County,WV,9.2,8051
Clayton County,GA,19.5,297595
Clayton County,IA,17.7,17043
Clear Creek County,CO,48.1,9397
Clearfield County,PA,15.1,80562
Clearwater County,ID,17.9,8734
Clearwater County,MN,17.1,8524
Cleburne County,AL,15.4,15056
Cleburne County,AR,15.5,24711
Clermont County,OH,28.6,208601
Cleveland County,AR,16.2,7550
Cleveland County,NC,17.6,99519
Cleveland County,OK,33.4,295528
Clinch County,GA,10,6749
Clinton County,IA,17.9,46460
Clinton County,IL,22.3,36899
Clinton County,IN,16.3,33190
Clinton County,KY,10.3,9253
Clinton County,MI,32.1,79128
Clinton County,MO,21.6,21184
Clinton County,NY,22.9,79843
Clinton County,OH,18.9,42018
Clinton County,PA,19.5,37450
Cloud County,KS,24,9032
Coahoma County,MS,16.5,21390
Coal County,OK,17.3,5266
Cobb County,GA,47.4,766149
Cochise County,AZ,23.1,125447
Cochran County,TX,8,2547
Cocke County,TN,11.6,35999
Coconino County,AZ,36.2,145101
Codington County,SD,21.5,28325
Coffee County,AL,22.8,53465
Coffee County,GA,13,43092
Coffee County,TN,20.5,57889
Coffey County,KS,24.5,8360
Coke County,TX,17.8,3285
Colbert County,AL,18.1,57227
Cole County,MO,33.3,77279
Coleman County,TX,15.8,7684
Coles County,IL,26,46863
Colfax County,NE,15.4,10582
Colfax County,NM,21.7,12387
Colleton County,SC,14.6,38604
Collier County,FL,36.4,375752
Collin County,TX,52.3,1064465
Collingsworth County,TX,20.2,2652
Colonial Heights city,VA,25.5,18170
Colorado County,TX,21,20557
Colquitt County,GA,12.8,45898
Columbia County,AR,19.6,22801
Columbia County,FL,14.9,69698
Columbia County,GA,36.4,156010
Columbia County,NY,32.7,61570
Columbia County,OR,18.5,52589
Columbia County,PA,22.9,64727
Columbia County,WA,25.6,3952
Columbia County,WI,23.3,58490
Columbiana County,OH,14.9,101877
Columbus County,NC,13.8,50623
Colusa County,CA,15,21839
Comal County,TX,36.8,161501
Comanche County,KS,16,1689
Comanche County,OK,22.2,121125
Comanche County,TX,20.3,13594
Concho County,TX,13,3303
Concordia Parish,LA,14.1,18687
Conecuh County,AL,12.8,11597
Conejos County,CO,21,7461
Contra Costa County,CA,42.4,1165927
Converse County,WY,17.3,13751
Conway County,AR,15.6,20715
Cook County,GA,13.5,17229
Cook County,IL,38.8,5275541
Cook County,MN,40.4,5600
Cooke County,TX,20.9,41668
Cooper County,MO,22.1,17103
Coos County,NH,18.2,31268
Coos County,OR,17.8,64929
Coosa County,AL,12.8,10387
Copiah County,MS,14.5,28368
Corson County,SD,17.8,3902
Cortland County,NY,28,46809
Coryell County,TX,16.1,83093
Coshocton County,OH,13.2,36612
Costilla County,CO,19.3,3499
Cottle County,TX,16.8,1380
Cotton County,OK,13.7,5527
Cottonwood County,MN,20,11517
Covington County,AL,15.3,37570
Covington County,MS,14.7,18340
Covington city,VA,15.6,5737
Coweta County,GA,30.3,146158
Cowley County,KS,21.8,34549
Cowlitz County,WA,17,110730
Craig County,OK,14.7,14107
Craig County,VA,23.6,4892
Craighead County,AR,26.2,111231
Crane County,TX,14.7,4675
Craven County,NC,25.3,100720
Crawford County,AR,16,60133
Crawford County,GA,10.5,12130
Crawford County,IA,14.3,16525
Crawford County,IL,17.1,18679
Crawford County,IN,10.3,10526
Crawford County,KS,29.9,38972
Crawford County,MI,19.4,12988
Crawford County,MO,11.5,23056
Crawford County,OH,14.4,42025
Crawford County,PA,21.1,83938
Crawford County,WI,18.4,16113
Creek County,OK,17,71754
Crenshaw County,AL,17.4,13194
Crisp County,GA,14.1,20128
Crittenden County,AR,17.4,48163
Crittenden County,KY,13.1,8990
Crockett County,TN,13.8,13911
Crockett County,TX,14,3098
Crook County,OR,19.8,24738
Crook County,WY,22.3,7181
Crosby County,TX,13.2,5133
Cross County,AR,14.4,16833
Crow Wing County,MN,24.7,66123
Crowley County,CO,9,5922
Culberson County,TX,10.2,2188
Cullman County,AL,13.9,87866
Culpeper County,VA,25.7,52552
Cumberland County,IL,15.4,10450
Cumberland County,KY,13.3,5888
Cumberland County,ME,47.6,303069
Cumberland County,NC,25.5,334728
Cumberland County,NJ,15.6,154152
Cumberland County,PA,36.6,259469
Cumberland County,TN,18.5,61145
Cumberland County,VA,14.9,9675
Cuming County,NE,23.8,9013
Currituck County,NC,23.5,28100
Curry County,NM,19.2,48430
Curry County,OR,24.6,23446
Custer County,CO,32.5,4704
Custer County,ID,24.4,4275
Custer County,MT,24.6,11867
Custer County,NE,24,10545
Custer County,OK,24.8,28513
Custer County,SD,23.5,8318
Cuyahoga County,OH,32.5,1264817
Dade County,GA,15.2,16251
Dade County,MO,12.7,7569
Daggett County,UT,13.4,935
Dakota County,MN,42.2,439882
Dakota County,NE,13,21582
Dale County,AL,18.1,49326
Dallam County,TX,15.8,7115
Dallas County,AL,14.7,38462
Dallas County,AR,11.9,6482
Dallas County,IA,50.4,99678
Dallas County,MO,12.9,17071
Dallas County,TX,31.5,2613539
Dane County,WI,51.4,561504
Daniels County,MT,24,1661
Danville city,VA,17.6,42590
Dare County,NC,34.7,36915
Darke County,OH,15.8,51881
Darlington County,SC,18.4,62905
Dauphin County,PA,30.8,286401
Davidson County,NC,18.5,168930
Davidson County,TN,41.7,715884
Davie County,NC,24,42712
Daviess County,IN,13.2,33381
Daviess County,KY,22.9,103312
Daviess County,MO,18.5,8430
Davis County,IA,19.5,9110
Davis County,UT,37.8,362679
Davison County,SD,26.5,19956
Dawes County,NE,36.9,8199
Dawson County,GA,30.6,26798
Dawson County,MT,22.2,8940
Dawson County,NE,15.8,24111
Dawson County,TX,14.2,12456
Day County,SD,21.6,5449
De Baca County,NM,13,1698
De Soto Parish,LA,14.8,26812
De Witt County,IL,21.3,15516
DeKalb County,AL,13,71608
DeKalb County,GA,44.2,764382
DeKalb County,IL,32.3,100420
DeKalb County,IN,18,43265
DeKalb County,MO,13.8,11029
DeKalb County,TN,16.7,20080
DeSoto County,FL,11.5,33976
DeSoto County,MS,25,185314
DeWitt County,TX,12.6,19824
Deaf Smith County,TX,12,18583
Dearborn County,IN,22.9,50679
Decatur County,GA,13.8,29367
Decatur County,IA,25,7645
Decatur County,IN,20.6,26472
Decatur County,KS,22.5,2764
Decatur County,TN,14.5,11435
Deer Lodge County,MT,20.4,9421
Defiance County,OH,18,38286
Del Norte County,CA,14.8,27743
Delaware County,IA,16.6,17488
Delaware County,IN,23.7,111903
Delaware County,NY,22.6,44308
Delaware County,OH,54.3,214124
Delaware County,OK,18.1,40397
Delaware County,PA,39,576830
Delta County,CO,21.7,31196
Delta County,MI,21,36903
Delta County,TX,25.1,5230
Denali Borough,AK,41.1,1619
